feature,variance
Shewanella sp. WE21,5.439560439560438e-08
Candidatus Azobacteroides pseudotrichonymphae,5.4395604395604454e-08
Polaribacter sp. BM10,5.4395604395604454e-08
Lactobacillus curvatus,5.4395604395604454e-08
Candidatus Methylopumilus planktonicus,5.4395604395604454e-08
Streptomyces sp. ICC1,5.439560439560448e-08
Oleispira antarctica,5.439560439560449e-08
Synechococcus sp. CC9311,5.439560439560449e-08
Agarivorans gilvus,5.439560439560449e-08
Candidatus Nanopelagicus limnes,5.439560439560449e-08
Turicibacter sp. H121,5.439560439560449e-08
Planococcus antarcticus,5.439560439560449e-08
Mesotoga prima,5.439560439560449e-08
Tatlockia micdadei,5.439560439560449e-08
Pseudoalteromonas spongiae,5.43956043956045e-08
Treponema pallidum,5.4395604395604514e-08
Nostoc sp. PCC 7107,5.439560439560452e-08
Lactobacillus paracollinoides,5.4395604395604586e-08
Virgibacillus sp. 6R,5.439560439560459e-08
Bacillus cellulosilyticus,5.439560439560459e-08
Halothece sp. PCC 7418,5.439560439560459e-08
Candidatus Pelagibacter sp. HIMB1321,5.439560439560463e-08
Yersinia similis,6.282051282051272e-08
Limnobaculum parvum,6.282051282051274e-08
Rhizobium phage 16-3,6.282051282051274e-08
Dickeya sp. Secpp 1600,6.282051282051275e-08
Tepidanaerobacter acetatoxydans,6.282051282051275e-08
Candidatus Evansia muelleri,6.282051282051275e-08
Polaribacter sp. MED152,6.282051282051276e-08
Acetobacterium sp. KB-1,6.282051282051276e-08
Nonlabens dokdonensis,6.282051282051276e-08
Nonlabens sp. MB-3u-79,6.282051282051276e-08
Formosa sp. Hel3_A1_48,6.282051282051276e-08
Thermodesulfobium acidiphilum,6.282051282051276e-08
Lactobacillus mucosae,6.282051282051276e-08
Flavobacteriaceae bacterium,6.282051282051276e-08
Flexistipes sinusarabici,6.282051282051276e-08
Shewanella pealeana,6.282051282051278e-08
Synechocystis sp. PCC 6714,6.282051282051278e-08
Candidatus Babela massiliensis,6.282051282051278e-08
Thermotoga petrophila,6.282051282051278e-08
Candidatus Profftella armatura,6.282051282051278e-08
Capnocytophaga leadbetteri,6.282051282051278e-08
Methanolacinia petrolearia,6.282051282051278e-08
Pectobacterium polaris,6.721611721611711e-08
Leminorella richardii,7.106227106227096e-08
Virgibacillus sp. Bac332,7.106227106227103e-08
Microcystis sp. MC19,7.106227106227103e-08
